FeedBackID,CustomerID,ProductID,Rating,Comment,FeedBackDate,Sentiment
1,206,474,1,Would not recommend to anyone.,2025-02-21,Negative
2,39,219,3,Expected better packaging.,2025-03-15,Neutral
3,133,440,1,Very disappointed with the quality.,2025-02-15,Negative
4,246,260,4,Exceeded my expectations. Looks amazing!,2025-01-15,Positive
5,321,429,3,Expected better packaging.,2025-01-17,Neutral
6,394,407,2,Stitching came apart after first wear.,2025-02-25,Negative
7,315,281,3,Nothing special but works fine.,2025-02-13,Neutral
8,394,266,3,"Average quality, but acceptable for the price.",2025-03-28,Neutral
9,149,333,2,Would not recommend to anyone.,2025-02-08,Negative
10,165,297,3,Nothing special but works fine.,2025-02-06,Neutral
11,216,396,5,Love the color and the material!,2025-01-17,Positive
12,108,296,5,Perfect fit and very comfortable.,2025-01-03,Positive
13,372,267,2,Very disappointed with the quality.,2025-03-28,Negative
14,219,270,5,Absolutely love the quality of this product!,2025-01-21,Positive
15,103,158,4,Fabric feels premium and looks great.,2025-03-11,Positive
16,379,72,5,Exceeded my expectations. Looks amazing!,2025-02-09,Positive
17,81,222,2,Would not recommend to anyone.,2025-03-29,Negative
18,192,372,4,Perfect fit and very comfortable.,2025-01-21,Positive
19,449,422,4,This shirt is my new favorite!,2025-02-03,Positive
20,475,145,5,Perfect fit and very comfortable.,2025-03-12,Positive
21,387,159,3,"Decent product, but could be better.",2025-02-03,Neutral
22,240,100,1,Not worth the money.,2025-03-08,Negative
23,201,181,4,Love the color and the material!,2025-03-04,Positive
24,213,183,1,Not worth the money.,2025-03-24,Negative
25,155,382,4,Fabric feels premium and looks great.,2025-03-24,Positive
26,486,249,2,Color faded after one wash.,2025-01-24,Negative
27,276,69,4,Great value for the price. Will buy again.,2025-02-28,Positive
28,450,59,2,Too small despite ordering my size.,2025-02-22,Negative
29,171,41,1,Not worth the money.,2025-02-23,Negative
30,323,62,1,Fabric feels cheap and uncomfortable.,2025-01-14,Negative
31,51,385,2,Looks different from the pictures.,2025-03-08,Negative
32,174,399,5,Fits perfectly and looks great with jeans.,2025-03-19,Positive
33,349,381,1,Too small despite ordering my size.,2025-01-19,Negative
34,127,348,3,Nothing special but works fine.,2025-03-02,Neutral
35,353,317,2,Looks different from the pictures.,2025-01-22,Negative
36,162,345,3,Comfortable but not very stylish.,2025-02-18,Neutral
37,150,128,4,Fantastic service and great quality clothing.,2025-01-13,Positive
38,260,154,4,Love the color and the material!,2025-02-07,Positive
39,126,276,3,"Fit was alright, but not perfect.",2025-03-07,Neutral
40,297,170,5,Exceeded my expectations. Looks amazing!,2025-03-02,Positive
41,183,439,1,Does not fit as described.,2025-01-25,Negative
42,352,285,3,Nothing special but works fine.,2025-02-23,Neutral
43,474,182,4,Fits perfectly and looks great with jeans.,2025-03-02,Positive
44,108,304,1,Too small despite ordering my size.,2025-03-27,Negative
45,23,373,3,"Average quality, but acceptable for the price.",2025-02-07,Neutral
46,382,26,1,Would not recommend to anyone.,2025-03-28,Negative
47,245,365,3,Nothing special but works fine.,2025-02-28,Neutral
48,165,147,3,"Fit was alright, but not perfect.",2025-02-27,Neutral
49,345,313,2,Very disappointed with the quality.,2025-03-09,Negative
50,23,474,1,Stitching came apart after first wear.,2025-03-02,Negative
51,95,119,5,Great value for the price. Will buy again.,2025-01-10,Positive
52,216,423,3,"Quality is fine, not great though.",2025-03-17,Neutral
53,88,425,1,Too small despite ordering my size.,2025-02-08,Negative
54,358,299,2,Very disappointed with the quality.,2025-02-21,Negative
55,449,436,1,Stitching came apart after first wear.,2025-01-19,Negative
56,473,8,5,Great value for the price. Will buy again.,2025-01-14,Positive
57,426,474,2,Too small despite ordering my size.,2025-01-04,Negative
58,47,292,1,Does not fit as described.,2025-02-26,Negative
